web_scraper_order,web_scraper_start_url,title,bid-id,due-date,stage
"1784987501-1","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Solar Monitoring and Asset Management Services","2026-0129","07/30/2026 03:00pm","Bidding"
"1784987501-2","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","As-Needed Bridge, Road, and Trail Design, Engineering, Inspection, Maintenance, and Bridge Construction Management Services","2026-0133","08/05/2026 03:00pm","Bidding"
"1784987501-3","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","As-Needed and Urgent or Immediate Facilities Condition Assessment, Environmental Inspections and Radon Remediation, and Project Management Services","#2026-0112","08/07/2026 03:00pm","Bidding"
"1784987501-4","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Fresh Food and Snack Vending Machine Services","2026-0135","08/20/2026 03:00pm","Bidding"
"1784987501-5","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - As-Needed Relocation and Goodwill Services","2026-0125","08/21/2026 03:00pm","Bidding"
"1784987501-6","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","As-Needed and Urgent or Immediate Burial Services","2026-0116","07/02/2026 03:00pm","Closed"
"1784987501-7","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","As-Needed Professional Architectural, Engineering, and Construction Management Consulting Services","2026-0102","07/01/2026 03:00pm","Closed"
"1784987501-8","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Janitorial Supplies","2026-0122","06/29/2026 03:00pm","Closed"
"1784987501-9","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Landfill Gas Engineering and Monitoring Services - Union Mine Disposal Facility","2026-0130","06/26/2026 03:00pm","Closed"
"1784987501-10","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Ergotron Sit-Stand Units","2026-0128","06/19/2026 03:00pm","Award Pending"
"1784987501-11","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-Needed Construction Support Services","2026-0111","06/05/2026 03:00pm","Awarded"
"1784987501-12","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Plumbing, Generator Maintenance and Repair, and Tremco Certified Roofing Services","#2026-0118","05/29/2026 03:00pm","Closed"
"1784987501-13","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Printed Business & Catalog Envelopes","2026-0124","05/27/2026 03:00pm","Award Pending"
"1784987501-14","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Defensible Space and Home Hardening Services - Weber Creek","2026-0101","05/21/2026 03:00pm","Award Pending"
"1784987501-15","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Drone – Freefly Astro Max Mapping Essentials Aircraft (NDAA/Blue) or Equivalent","2026-0126","05/14/2026 03:00pm","Award Pending"
"1784987501-16","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Electronic Health Record System","2026-0117","05/13/2026 03:00pm","Award Pending"
"1784987501-17","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Herbicides","2026-0123","05/08/2026 03:00pm","Award Pending"
"1784987501-18","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Aggregate Base Materials - West Slope","2026-0121","04/30/2026 03:00pm","Closed"
"1784987501-19","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","El Dorado County Water Agency - RFP-Alder Reservoir Appraisal Study","2026-101","04/23/2026 05:00pm","Closed"
"1784987501-20","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Plant Mix Asphalt Concrete - West Slope","2026-0119","04/17/2026 03:00pm","Award Pending"
"1784987501-21","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Aggregate Base Materials - West Slope","2026-0115","04/06/2026 03:00pm","Closed"
