web_scraper_order,web_scraper_start_url,title,bid-id,due-date,stage
"1784987646-1","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Style 1 Decorative Poles w/o Anchor Bolts","B27151951002","07/30/2026 02:00pm","Bidding"
"1784987646-2","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Mangan Park Walkway Improvements","B26191121026","08/05/2026 02:00pm","Bidding"
"1784987646-3","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Lampasas Ave & Rio Linda Blvd Project","B2715111101","08/05/2026 02:00pm","Bidding"
"1784987646-4","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Contact Center Replacement","P27071011001","08/07/2026 02:00pm","Bidding"
"1784987646-5","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","KINNEY POLICE FACILITY HVAC IMPROVEMENTS","B26014541003","08/12/2026 02:00pm","Bidding"
"1784987646-6","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Earl Warren Park Playground Replacement","B26191121027","08/13/2026 02:00pm","Bidding"
"1784987646-7","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Energy Management Plan Development","P26141363016","08/13/2026 03:00pm","Bidding"
"1784987646-8","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","On-Call Coating Specialists 2026-31","Q26141311015","08/20/2026 03:00pm","Bidding"
"1784987646-9","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Heavy Duty Tow Rotation Program","Q24211313004","06/30/2028 05:00pm","Bidding"
"1784987646-10","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Pedestrian Crossing at R Street and 29th/30th Streets","P26151111027","07/23/2026 02:00pm","Closed"
"1784987646-11","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","2” Aluminum scheduled 40 pipe","B27151931002","07/21/2026 02:00pm","Closed"
"1784987646-12","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Traffic Signal and Street Light Maintenance, Repair, and Modification","Q26151111028","07/20/2026 04:00pm","Closed"
"1784987646-13","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Homekey+ Permanent Supportive Housing","Q26021451003","07/10/2026 12:00pm","Closed"
"1784987646-14","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","North Natomas Regional Park (Great Meadow)","B26191121025","07/08/2026 02:00pm","Award Pending"
"1784987646-15","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Sacramento Last Mile Project Package 2","B26151111026","07/08/2026 02:00pm","Closed"
"1784987646-16","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Traffic Signal Safety Project","P26151111025","07/08/2026 02:00pm","Closed"
"1784987646-17","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","On-Call Maintenance Services","SPLBID1199","07/07/2026 01:00pm","Closed"
"1784987646-18","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Urban Forestry Education and Engagement","P26151111024","07/01/2026 04:00pm","Closed"
"1784987646-19","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","As-Needed Purchase of Ready-Mixed Concrete","B26151651021","07/01/2026 02:00pm","Closed"
"1784987646-20","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Temporary Fencing Services","B26211311001","06/29/2026 12:00pm","Awarded"
"1784987646-21","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Commercial Waste Compliance Outreach Services","P26155711004","06/26/2026 05:00pm","Closed"
"1784987646-22","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Citywide Recruitment Services","P26081041002","06/26/2026 05:00pm","Closed"
"1784987646-23","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Voluntary Accident, Critical Illness, and Hospital Indemnity Plan","P26081021001","06/26/2026 05:00pm","Closed"
"1784987646-24","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","ON CALL PROFESSIONAL SERVICES- Real Estate Brokerage Services","Q26014541002","06/25/2026 02:00pm","Closed"
"1784987646-25","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Creative Services for Outreach","P26155711003","06/24/2026 05:00pm","Closed"
"1784987646-26","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Granite Park Soccer Field Fencing & Paving Project","B26191121024","06/24/2026 02:00pm","Award Pending"
"1784987646-27","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Basin 111 Manhole Installation Project","B26141324013","06/24/2026 02:00pm","Awarded"
"1784987646-28","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","La Mancha Way Valley HI Drive Corridor Improvements","B26151111023","06/24/2026 02:00pm","Closed"
"1784987646-29","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Trucking Services in Support of Minor Street Repairs","B26151631022","06/23/2026 02:00pm","Awarded"
"1784987646-30","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Integrated AV Maintenance & Repair – Meyer System at the SAFE Credit Union Performing Arts Center","B26171121005","06/23/2026 02:00pm","Canceled"
"1784987646-31","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Sacramento Marina Operational & Financial Sustainability Consulting","P26152011001","06/18/2026 05:09pm","Award Pending"
"1784987646-32","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Landfill and Waste Disposal Services","B26151631020","06/17/2026 02:00pm","Awarded"
"1784987646-33","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Westlake Sluice Gates Replacement Project","B26141324014","06/17/2026 02:00pm","Award Pending"
"1784987646-34","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Strategic Marketing & Outreach Program Promotor Incentive Program","P26171011001","06/17/2026 02:00pm","Award Pending"
"1784987646-35","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","City College Reservoir Transmission Main Project","P26141322012","06/15/2026 03:00pm","Award Pending"
"1784987646-36","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","VEHICLE UPFIT ACCESSORIES, WINDOW TINT AND INSTALLATION SERVICES","B26153311018","06/12/2026 03:00pm","Awarded"
"1784987646-37","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Vision Zero School Safety Project","B26151111022","06/10/2026 02:00pm","Award Pending"
"1784987646-38","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Arcade Creek Bridge at Watt Ave Scour Repair","B26151111021","06/10/2026 02:00pm","Closed"
"1784987646-39","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","OLD SACRAMENTO BOARDWALK REPLACEMENT","Q26014541001","06/09/2026 02:00pm","Closed"
"1784987646-40","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Aggie Square Workforce Program Case Management and Wraparound Services","P26021411003","06/08/2026 03:00pm","Closed"
"1784987646-41","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","28th and B Skate Park Operations","P26191531003","06/05/2026 02:00pm","Awarded"
"1784987646-42","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Herbicide Application for City Owned Vacant Lots","B26151681017","06/03/2026 02:00pm","Awarded"
"1784987646-43","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","City Owned Vacant Lots Streetscapes Maintenance","B26151681016","06/03/2026 02:00pm","Awarded"
"1784987646-44","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Richards Boulevard Drainage Improvements","B26141311011","06/03/2026 02:00pm","Award Pending"
"1784987646-45","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Bertha Henschel Park Restroom & Basketball Court Improvements","B26191121023","06/03/2026 02:00pm","Award Pending"
"1784987646-46","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Heavy Duty Tow Rotation Program","Q24211313004","06/01/2026 04:00pm","Closed"
"1784987646-47","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Cove Park Shade Canopy","B26191121022","05/28/2026 02:00pm","Awarded"
"1784987646-48","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Citywide Recruitment Services","P26081041001","05/27/2026 05:00pm","Canceled"
"1784987646-49","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","West Natomas Central Streetscapes Maintenance","B26151681019","05/27/2026 02:00pm","Awarded"
"1784987646-50","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Parkebdrige Streetscapes Maintenance","B26151681018","05/27/2026 02:00pm","Awarded"
"1784987646-51","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","City Hall Complex Streetscapes Maintenance","B26151681015","05/27/2026 02:00pm","Closed"
"1784987646-52","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Combined Waste Treatment Plant Chemical Tank Replacement","B26141151809","05/27/2026 02:00pm","Award Pending"
"1784987646-53","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Arden Way CMP Storm Drains Replacement","B26141324010","05/27/2026 02:00pm","Award Pending"
"1784987646-54","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Carlson Drive Rehabilitation Project","B26151111020","05/20/2026 02:00pm","Awarded"
"1784987646-55","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Northgate Blvd Fence Replacement Phase 1 (Rebid)","B26151111019","05/20/2026 12:23pm","Awarded"
"1784987646-56","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Specialty Weed Control for City Parks","B26191311005","05/13/2026 02:00pm","Closed"
"1784987646-57","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Creative Services for Outreach","P26155711001","05/11/2026 05:00pm","Canceled"
"1784987646-58","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Stockton Boulevard Housing Stabilization","Q26021451002","05/11/2026 03:00pm","Award Pending"
"1784987646-59","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Landfill and Waste Disposal Services","B26151811014","05/06/2026 02:02pm","Awarded"
"1784987646-60","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Landscape Maintenance Services Old Sacramento District","B26171911001","05/06/2026 02:00pm","Awarded"
"1784987646-61","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","ServiceNow  Professional Services","P26071011006","05/06/2026 02:00pm","Closed"
"1784987646-62","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Destruction of Narcotics & Narcotic Paraphernalia (ON-SITE)","P261100135105","05/05/2026 05:00pm","Closed"
"1784987646-63","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Destruction of Narcotics & Narcotic Paraphernalia (OFF-SITE)","P261100135101","05/05/2026 05:00pm","Closed"
"1784987646-64","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Request for Qualifications for Arbitrage Consultant","Q26051011001","05/04/2026 04:00pm","Closed"
"1784987646-65","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Food Literacy Floyd (Urban) Farm Community Action Plan","P26211222001","04/29/2026 05:00pm","Award Pending"
"1784987646-66","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Alley Dust Off Services","B26151631013","04/29/2026 02:00pm","Closed"
"1784987646-67","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","St Lukes Detention Basin Project","B26141324008","04/29/2026 02:00pm","Award Pending"
"1784987646-68","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Drainage & Wastewater Jetting & Rodding Supplies","B26141451413","04/29/2026 02:00pm","Award Pending"
"1784987646-69","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Vehicle Body and Upfitting Services","B26153311016","04/29/2026 02:00pm","Awarded"
"1784987646-70","https://pbsystem.planetbids.com/portal/15300/bo/bo-search","Police Department Records Unit Audit","P261100108104","04/28/2026 05:00pm","Closed"
